sentence1	sentence2	gold_label
빌드 환경 엔지니어링 제조 생산(모든 속도 툴링)(1st 생산 툴링 세트)	제1 생산 툴링 세트를 제조하기 위한 것이다.	entailment
당신이 당신만의 가정을 정리하는 한, 이웃의 소비 습관에 대해 조바심을 내는 것은 그의 거실 양탄자의 색깔에 대해 조바심을 내는 것과 많이 같다.	이웃의 양탄자 색깔에 대해 걱정해야 한다.	contradiction
그래, 물론 그들은 항상 군복무에 참여할 수 있어. 그들은 시민으로 여겨져.	그들은 군복무를 할 수 없다	contradiction
그녀는 미소를 지었다.	그녀는 너무 기뻐서 웃음을 멈출 수가 없었다.	neutral
보건의료금융청에 따르면, 75년 동안 HI 혜택에만 자금을 대는 데 필요한 미래의 추가 자원의 예상 순 현재 가치는 4달러라고 한다.	HI 혜택에 대한 향후 추가 자원의 순 현재 가치는 4달러였다.	entailment
따라서 의회가 자금을 지원한 소송 서비스와 관련하여 의회가 제한하려는 옹호의 표현을 위한 대체 채널은 없다.	이것이 의회가 제한하고자 하는 옹호의 유일한 표현 통로다.	entailment
이걸 어떻게 고칠까요?”	이걸 고칠 수 있을까?	entailment
하지만 그것은 너무 많은 계획이 필요하다	그것은 많은 계획이 필요하지 않다.	contradiction
나는 강의에서 모니카에 대해 언급하지 않았지만, 첫 번째 질문은 클린턴 대통령이 모니카 르윈스키 사건으로 인한 모든 산만함으로 어떻게 자신의 일을 할 수 있느냐 하는 것이었다.	그들은 아무런 문제 없이 강의를 통과하기를 원했다.	neutral
우편서비스가 도시배송사업자의 감가상각, 연료, 유지관리에 대한 설명을 분석한 결과, 우리는 노선당 평균 도시배송차량 비용을 추정했다.	운전 비용 추정치는 충분한 데이터를 평균화할 수 있다.	neutral
왜냐하면 그것은 나의 어린 시절의 상상력에 작용하기 때문이다.	그 예술은 나의 어린 상상력에 영향을 미친다.	neutral
느리다. 어, 지금 시장에 더 좋은 기계들이 많이 있다.	이것은 가장 빠른 기계야, 너는 더 나은 기계를 찾을 수 없을 거야.	contradiction
성소의 중심부에는 한때 작은 화강암 신사가 호루스의 신성한 바크를 직접 들고 있었다.	호루스는 신이다.	neutral
미국 우편국을 생각해보자.	미국 우편국은 잊어버려.	contradiction
정장 차림으로.	그는 마스코트 의상을 입고 있다.	neutral
비록 여러분의 여정은 어려울 것이고 때때로 여러분 자신을 의심하게 될 것이지만, 고객들에게 주는 이익은 충분히 가치가 있고, 심지어 가장 적대적인 사람들조차 듣는 만족감은 새로운 시스템이 이전보다 더 낫다고 말한다.	새로운 시스템은 훨씬 더 복잡해 보이지만, 궁극적으로는 더 쉽고 철저해 보인다.	neutral
셰솔이 인용하지만 비교적 조사되지 않은 통계를 보십시오.	그들은 매우 관련이 있지만 사용되지 않는 데이터를 가지고 있었다.	entailment
그것은 천국에서 온 마나처럼 보였을지도 모른다 - 종종 예상치 못한 수천 달러가 이번 달에 50만 명의 켄터키와 인디애나 주민들의 손에 넘어가는 것처럼 보였다.	의회가 제안한 최근의 법은 켄터키 주민들로부터 수천 달러를 압수하는 결과를 낳았다.	contradiction
개인에게 시간을 투자하게 하면 자금이 뒤따를 것이다.	개인이 시간을 투자한다면 자금도 함께 나올 것이다.	entailment
나는 종종 내가 비디오 카메라를 가지고 있었으면 좋겠다고 생각한다. 왜냐하면 나는 1만 달러를 사용할 수 있기 때문이다. 하지만 나는 버트 레이놀즈와 함께 있는 이브닝 쉐이드 같은 것들을 좋아한다. 그리고 어.	내가 필요로 하는 비디오 카메라는 매우 비싸다.	neutral
지상의 남자는 잠시 생각하다가 "경영에서 일해야 한다"고 반격한다.	남자든 여자든 땅에는 아무도 없었다.	contradiction
그러나 평가질문이 GAO가 얼마나 만족스러운 진전인지 또는 시행상의 문제점에 대해 보고하도록 요구할 경우, 많은 관련자들이 볼 때 상황을 조사하기 위한 가장 두껍거나 가장 두꺼운 기반을 가지고 시간이 지남에 따라 현장에 있을 수 있는 직원이 많을수록 우리의 인과적 결론과 후속 권고가 더 명확해질 것이다.	GAO가 진행 상황을 보고해야 한다면 권고안은 훨씬 질이 나빠질 것이다.	contradiction
경제는 여전히 더 나아질 수 있다.	경제가 결코 나아지지 않았다.	contradiction
언덕과 산은 특히 자이나교 숭배에서 신성시된다.	자이나교 숭배자들은 자연을 싫어한다.	contradiction
유명한 주택(또는 땅)이 건설되기 시작했다.	그 땅은 텅 비어 있었다.	contradiction
이 놀라운 문화의 융합 속에는 연속성에 대한 열정이 있다.	연속성에 대한 열정은 이러한 문화들 중에서 가장 중요하지 않다.	neutral
무대를 말이 끄는 운반, 인기 있는 섬세함, 로켓의 일부, 게일 쉬히(뉴스 퀴즈 참가자들로부터 무료 승차권을 얻는 것 같다)를 조롱할 기회로 제쳐두고, 이 질문은 거의 폭력적인 연극 행사의 발명을 요구했지만, 그것은 쉽지 않다.	게일 쉬히는 다른 쇼에서 조롱하는 인기 있는 표적이다.	neutral
그 아파트의 주인에 대한 간청은 아무데도 가지 않았다.	그 아파트의 주인은 매우 반응적이다.	contradiction
캐번디시 부인은 시어머니 방에 있다.	캐번디시 부인이 건물을 떠났다.	contradiction
하지만 난 네가 커피를 끊겠다고 맹세했다고 생각했어.	나는 네가 커피를 더 마시겠다고 맹세했다고 생각했어.	contradiction
우리는 항상 악취가 난다.	우리는 항상 악취가 난다.	entailment
점점 더 상호의존적인 세계에서 미국인들에게 영향을 미치는 많은 긴급한 문제들은 다른 나라들과의 협력을 통해서만 해결될 수 있다.	우리는 독립해야 하고 다른 나라들과 대화하고 일하는 것을 멀리해야 한다.	contradiction
카다안은 말을 이었다.	카다안은 멈추기를 거부했다.	neutral
이 규칙은 방송사들이 어린이 텔레비전 프로그래밍 보고서가 포함된 공공 검사를 위한 파일을 유지하고, 그러한 프로그램들의 시작 부분에서 어린이들을 교육하고 알리기 위해 특별히 고안된 프로그램을 식별하고, 그러한 정보를 프로그램 가이드의 출판사에 제공하도록 요구한다.	이 규칙은 방송사들로 하여금 어린이 텔레비전 프로그램에 대한 파일을 보관하게 한다.	entailment
왜냐하면 내가 얼마나 더운지, 가장 추운 겨울에 얼마나 더운지, 얼마나 많은지.	겨울을 포함해 내가 사는 곳은 항상 덥다.	neutral
남자들은 각각 가죽 갑옷을 입고 무거운 라이더 스타일로 옷을 입었습니다.	남자들은 벌거벗은 상태였다.	contradiction
그 남자는 즉시 죽었어야 했다.	남자는 아주 멀쩡했다.	contradiction
여름에는 쌀이 녹색 벨벳 담요를 형성 한 다음 가을에 익 으면 수확하여 황금빛으로 변합니다.	쌀은 여름에는 황금색이고 수확이 가능하지만 가을에는 초록색으로 변한다.	contradiction
1930년대의 사회주의 논문인 데일리 워커와 뉴 미사가 마르크스와 엥겔스의 인용문으로 장식된 것처럼, 교육 해방자는 프리드리히 하이에크와 루드비히 폰 미세스에 대한 언급으로 가득 차 있다.	마르크스의 인용문은 30년대 사회주의 논문에 사용되었다.	entailment
바느질 아이템이 진짜 기사(열등한 수입품이나 기계 제작품과는 반대로)인지 확인하기 위해, IBTAM의 엠블럼인 M으로 납 도장을 찾아라. IBTAM은 Rua Visconde de Anadia에 전시실/박물관을 두고 있는 공식 섬 조직인 Instituto de Bordado, Tapecaras e Arte?sanato da Madera(Madeiran Embroidery, Tapestry, Handicrafts)에 의해 인증되었다는 것을 의미한다.	이탈리아에서 만들어진 바느질 품목에 진위를 보여주기 위한 도장이 있다.	neutral
나는 이 멀티비스타 같은 것에 관심이 없다. 왜냐하면 쿠차라 위 어딘가의 아름다운 태양의 과팽창과 비교했을 때, 돈 많은 사람의 지갑에 있는 신용막의 디바이더 수와 비교했을 때, 행복호르몬의 분비를 촉진시키는 물질로 합성적으로 농축된 건전한 우유에 담근 브리산테 롤의 웅장한 냄새와 비교했을 때, 쿠차라 위 어딘가에 있는 태양의 아름다운 과팽창과 비교했을 때, 어떤 덤피 시스템인 것은 무엇인가?' 곤조는 단지 그의 삶의 문제를 해결하기 위해 자신의 특징을 발견했다.	그는 이 멀티비스타 같은 것에 관심이 없다. 왜냐하면 건전한 우유에 담근 계피 롤의 웅장한 냄새에 비하면 어떤 쓰레기 같은 시스템이기 때문이다.	entailment
젤론은 "결국 내가 무엇을 했든 간에, 나는 공공사업을 할 수 있는 어떤 방법을 그 직업 안에서 찾았을 것 같다"고 말했다.	이것은 대중을 위한 규제를 더 잘 만드는 것을 돕기 위해 은행가로서 그 자리를 사용하는 것과 같다.	neutral
클라크는 또한 그와 레드그레이브가 그들의 결혼 생활을 계속할 수 있다는 희망을 표현했다.	클라크는 그가 그들의 결혼 생활을 계속할 수 있기를 바랐다.	entailment
예를 들어, 가난은 서구 국가에 사는 사람들에게 그렇듯이 수치심을 일으키지 않는다.	빈곤은 어느 나라에서도 수치심을 일으키지 않는다.	contradiction
자이살머로 가는 길로 돌아가면, 들판에 뛰어들기 전에 마지막으로 한 번 튀는 색깔이 감각을 즐겁게 한다.	자이살머로 가는 길은 울퉁불퉁하고 타기가 불쾌하다.	neutral
빅스버그의 전장에 있는 빅스버그로 갈 기회가 생긴다면 빅스버그에 있는 그룹이라는 걸 알 수 있을 거야 텍사스 어 그룹이 있는 곳이 있고 거기서 흥미로운 시간을 보냈어	빅스버그에는 노스캐롤라이나 군대도 있었다.	neutral
내 말은, 어쨌든 그렇게 해야 한다는 거야	나는 그것이 그렇게 되어서는 안 된다고 생각한다	contradiction
또한 보상위원회는 경영진이 회사와 주주 대 주주에게 옳은 일을 할 수 있도록 인센티브를 제공하기 위해 보상의 의미를 이해할 필요가 있습니다.	경영진이 회사와 주주 대 주주에게 옳은 일을 할 수 있는 인센티브를 제공하기 위한 보상의 의미는 항상 보상 위원회에 의해 무시되어야 한다.	contradiction
4세기 로마 황제 그라티아누스는 초기 방문객이었고, 훨씬 후에 낭만주의 시인 알폰세 드 라마르틴, 빅토리아 여왕, 생사엔스, 라흐마니노프와 같은 휘파람꾼들이 그 뒤를 이었다.	그라티아누스는 로마의 황제였다.	entailment
그래서 혼자 법정에 가서 사실대로 말했지만 아무 소용이 없었다.	나는 법정에서 진실을 말했지만 그것은 나에게 아무런 도움이 되지 않았다.	entailment
추가 링크(기타 아래 오른쪽에 있음)를 클릭하고	기타에서 클릭할 링크가 없습니다.	contradiction
그래서 나는 그것을 보기 시작했고 다음 주에 갑자기 채널을 맞추었고 나는 무엇을 하러 갔다.	내가 알았더라면 그것을 보기 시작하지 않았을 것이다.	neutral
아니, 아니, 잘 지내.	일단은 안녕히 계세요.	entailment
"안녕, 벤."	나는 벤을 무시했다	contradiction
어떻게 그걸 증명할 수 있어?	그걸 어떻게 증명해야 하는지 말해줄래?	entailment
1812년 나폴레옹을 타고 모스크바를 오가는 코치부터 1904년부터 화려한 4마력 르노 자동차, 그리고 다른 세기의 고전들을 전시하고 있다.	이 전시회는 2000년대 자동차만을 전시한다.	contradiction
이 임원에 따르면, 마을 회관 회의는 참전용사들이 그들에게 가장 중요한 우려를 확인했고, 그들의 혜택 청구에 종사하는 VBA 직원들에게 직접 접근할 수 있었고, 청구 과정을 더 잘 이해할 수 있었기 때문에 그의 고객 만족도를 향상시키는 데 도움이 되었다고 한다.	"자신의 홀 미팅은 그의 고객 만족도를 향상시키는 데 도움이 되었다"고 이 임원은 말했다.	entailment
글쎄, 몇 시간 동안 그렇게 나쁘지는 않아.	나는 10분 동안도 기다리는 것을 좋아하지 않는다.	contradiction
동쪽에서는 새로운 회교 세력이 부상하기 시작하면서 기독교 세력이 후퇴하고 있었다.	기독교 세력은 강했지만 후퇴하고 있었다.	neutral
우리는 합리적으로 높은 권위에 대해 진정한 자선단체는 그 자체가 아니라는 말을 들었다.	진정한 자선은 그 자체를 자랑한다고 우리는 들었다.	contradiction
그래, 그리고 그들이 그것에 직면했을 때 무엇을 해야 할지.	그들은 동료들의 압력에 직면할 것이고 거절할 필요가 있을 것이다.	neutral
대학원을 졸업한 지 1년이 지난 지금 변호사들은 평균 9만 달러 미만의 빚을 지고 있고 평균 31,000달러의 법률 구호 단체에서 초봉을 받는 상황에서 그들은 그 일을 감당할 여유가 없었다.	새 변호사들은 로스쿨에 막대한 빚을 지고 있다.	entailment
여기서 당신은 다른 호기심들 중에서도 머리가 움츠러들고, 머리가 두 개인 염소, 그리고 조각난 돈으로 만들어진 마릴린 먼로의 동상을 볼 수 있을 것이다.	호기심 중 하나는 머리가 두 개인 염소이다.	entailment
코코니노 카운티 고등법원의 명예로운 찰스 아담스 판사는 이에 동의했지만 자기 대표성을 매우 단념시켰다.	명예로운 찰스 애덤스가 자기표현을 장려했다.	contradiction
그는 대부분 그를 점퍼와 블랙캣이라고 부르는 나이든 남부 흑인들과 어울린다.	그와 어울리는 경향이 있는 한 무리의 남자들은 그에게 점퍼라는 별명을 주었다.	entailment
Lac du Bourget의 가장자리에 있는 이 우아한 스파 마을은 수세기 동안 류머티즘과 다른 질병에 대한 치료법을 제공했다.	그 도시는 지난 50년 동안만 설립되었다.	contradiction
맞아, 아름다운 도시야. 하지만 문제는 내가 어렸을 때 그들이 나를 라스베가스로 데려갔을 때 가장 지루한 곳이었어.	나는 라스베가스가 내가 아는 가장 지루한 곳이라고 생각한다.	entailment
'소음이다.	조용히 하세요.	entailment
나만의 옷을 만들 수 있을 거야	나만의 옷을 만들 수 있을 거야.	entailment
그 강은 모든 파리 방문에서 중심적인 역할을 한다.	그 강은 파리로 가는 모든 휴가의 중심이다.	entailment
그들은 2개 국어를 사용해야 합니다	그들은 2개 국어를 사용해야 합니다	entailment
오, 크자렉, 하지만 우리에게 일어날까요?	크자렉은 그날 어떤 질문도 받지 않았다.	contradiction
알고 보니, 내가 완전히 틀린 것은 아니었다.	내가 100% 틀렸다.	contradiction
원주민 '내가 이기고, 나는 큰 법을 어기고...	n/a	contradiction
어쨌든, 다 끝났어."	그것은 끝났다.	entailment
이 약초 추출물은 가벼운 치매를 치료하고 알츠하이머의 기억 상실을 예방하는 데 성공했음을 보여준다.	한약재 추출물은 치매 치료를 잘 하지 못한다.	contradiction
준비되지 않은 프랑스 군대에 대한 번개 승리 후, 독일군은 파리를 행진하여 도시로 포위 공격을 가했는데, 마침내 1871년 1월 식량 공급이 줄어들면서 항복했다.	파리는 독일군에게 항복해야 하는 것이 불행했다.	neutral
그렇기 때문에 아이콘은 그들이 가진 힘을 가지고 있다.	그것이 신이 나를 움직이는 이유다.	contradiction
제품 개발 프로세스에 중요한 것은 특정 설계 및 제조 지식 및 결정 검토를 캡처하여 캡처된 지식이 다음 개발 단계로 이동하거나 생산 단계로 이동하는 데 필요한 투자 증가를 지원할 것인지 여부를 결정할 수 있는 활동이었습니다.	포착된 지식은 다음 단계가 추가 개발이나 생산인지를 결정할 것이다.	entailment
어리석게도 자랑스럽다고 했어요.	내 자존심은 어리석은 짓이었다.	entailment
그 말은 마치 소녀가 두 귀에 직접 속삭인 것처럼 그의 머리를 가득 채웠다.	소녀는 아주 조용히 말했다.	entailment
그리고 그들의 많은 규칙과 규정이 명확하지 않기 때문에 우리는 오스틴에 있는 TACB를 서면으로 돕는 환경 관리자가 있다. 그리고 우리가 여기 TI에서 무엇을 했는지 보라.	규칙이 명확하지 않아서 우리는 매니저에게 도움을 요청한다.	entailment
이 중에는 현재 파탄 박물관(네팔에서 가장 훌륭하고 현대적인 박물관)이 소장되어 있으며, 좁은 벽돌 광장을 가로질러 궁전을 마주하고 있는 붉은 벽돌 왕궁, 다른 스타일과 크기의 8개의 사원이 있다.	파탄 박물관은 붉은 벽돌 왕궁에서 아래쪽에 있다.	contradiction
루이지애나에서 쿠 클럭스 클랜의 일원 같은 사람이 그 생각을 하면 좀 무섭게 당선된 것 같아	Ku Klux Klan 회원이 루이지애나에서 선출되었다.	entailment
아니면 적어도 그들은 먼저 그것에 대해 뭔가를 하려고 한다.	그들은 적어도 먼저 그것에 대해 뭔가를 하려고 할지도 모른다.	entailment
난 정말 감명받지 않아. 3년 동안 독일에서 살았어. 나는 지금 스키에 감명받지 않았어. 나는 네가 겨울 스포츠를 아는 다른 사람들이 좋아. 하지만 나는 그들에 대해 정말 흥분하지 않아.	나는 동계 스포츠를 별로 좋아하지 않는다.	entailment
그것은 초기 전문화에 반대하여 다양한 분야에서 비판적 사고를 개발하기 위한 일련의 과정인 일반 교육에 대한 헌신이다.	일반 교육의 초점은 학생들의 비판적 사고 능력을 개발하는 것이다.	entailment
이론적으로 규모 경제의 전달은 확고하지 않다.	규모의 경제는 유연하다.	neutral
국가 저축은 오래된 공장과 장비를 대체하고 점점 더 나은 자본 상품을 구입하기 위해 투자할 수 있는 자원을 나타낸다.	오래된 공장과 장비는 국가적 저축이 있을 때에도 결코 대체되지 않았다.	contradiction
다른 사람들은 슈퍼스타들이 언덕 너머에 있다고 불평하고, 평범한 일을 하고 있다.	아무도 슈퍼스타에 대해 불평하지 않는다.	contradiction
엄격한 방법론자들과의 협력은 중요하지만, 그러한 협력은 ED 환경에서 구체적으로 달성될 수 있는 것에 초점을 맞춰야 한다.	엄격한 방법론학자들과 함께 일하는 것은 중요하다.	entailment
인구통계학적 연구를 보면 모든 사람의 지능지수가 급격히 떨어졌다는 것을 알 수 있다.	연구들은 그들의 IQ가 상당히 많이 증가했음을 보여주었다.	contradiction
연방 금융 기관의 지원이 없으면 프로그램 관리자는 정부 활동과 관련된 비용 또는 정부 활동에서 파생된 혜택을 결정하거나 방어할 수 없을 수 있습니다.	연방 금융 기관은 프로그램 관리자들에게 최고의 정보원이다.	neutral
이 조합은 캐나다에 약 4000명의 회원을 두고 있다.	캐나다에는 100명의 조합원이 살고 있다.	contradiction
하지만 우리는 그것을 보기 시작했고, 새로운 것들은 꽤 멋있었다. 왜냐하면 그것들은 특히 당신의 마음을 엿먹이는 것과 같은 특별한 것들과 비슷해졌기 때문이다.	새로운 것들은 네 마음을 망칠 수 있는 것들을 가지고 있어.	entailment
2000년 GNP는 다른 나라들로부터의 소득 영수증이 다른 나라들에 대한 미국의 지불액보다 적었기 때문에 GDP보다 적었다.	미국은 수입으로 받은 나머지 세계보다 전 세계에 더 많은 돈을 지불했다.	entailment
우리가 정리하기 전에 우리에게 줄 팁이 있니?"	우리가 알아야 할 게 있나요?	entailment
그리고 그들은 우리에게서 더 많은 돈을 가져가고 있다. 그래, 그리고 그들은 우리가 그것의 50%를 차지한다면 일할 동기가 없다.	사람들은 벌어들인 한 푼이라도 집으로 가져가기 때문에 일할 동기가 많다.	contradiction
그들은 전염의 두 번째 큰 원리에 너무 많이 의존했고, 그것은 행성의 표지판과 집과 코스를 통해 어떤 종류의 연관성으로 포장된 것 같았다.	행성의 표지판, 집, 코스는 일상생활에 큰 영향을 미친다.	neutral
금융 기획자들은 이제 약 4년 동안 이런 훈련을 받았을 겁니다.그리고 어떻게 하면 신용카드를 관리할 수 있을지에 대한 우리의 삶도 말이죠.돈 시장과 이런 종류의 것들을 알죠	금융 기획자들은 신용카드와 관련된 문제를 가진 사람들을 돕지 않는다.	contradiction
